"continent","country","countrycode","parent_company","plastic_type","n_pieces"
"Amerika","Argentinien","AR","Speed Unlimited","pp",0
"Amerika","Argentinien","AR","Speed Unlimited","ps",0
"Amerika","Argentinien","AR","Speed Unlimited","pvc",0
"Amerika","Argentinien","AR","P&G","hdpe",0
"Amerika","Argentinien","AR","P&G","ldpe",0
"Amerika","Argentinien","AR","P&G","o",1
"Amerika","Argentinien","AR","P&G","pet",0
"Amerika","Argentinien","AR","P&G","pp",1
"Amerika","Argentinien","AR","P&G","ps",0
"Amerika","Argentinien","AR","P&G","pvc",0
"Amerika","Argentinien","AR","Saldan","hdpe",0
"Amerika","Argentinien","AR","Saldan","ldpe",0
"Amerika","Argentinien","AR","Saldan","o",0
"Amerika","Argentinien","AR","Saldan","pet",0
"Amerika","Argentinien","AR","Saldan","pp",2
"Amerika","Argentinien","AR","Saldan","ps",0
"Amerika","Argentinien","AR","Saldan","pvc",0
"Amerika","Argentinien","AR","Prunelle","hdpe",2
"Amerika","Argentinien","AR","Prunelle","ldpe",0
"Amerika","Argentinien","AR","Prunelle","o",0
"Amerika","Argentinien","AR","Prunelle","pet",0
"Amerika","Argentinien","AR","Prunelle","pp",0
"Amerika","Argentinien","AR","Prunelle","ps",0
"Amerika","Argentinien","AR","Prunelle","pvc",0
"Amerika","Argentinien","AR","9 De Oro","hdpe",0
"Amerika","Argentinien","AR","9 De Oro","ldpe",0
"Amerika","Argentinien","AR","9 De Oro","o",0
"Amerika","Argentinien","AR","9 De Oro","pet",0
"Amerika","Argentinien","AR","9 De Oro","pp",2
"Amerika","Argentinien","AR","9 De Oro","ps",0
"Amerika","Argentinien","AR","9 De Oro","pvc",0
"Amerika","Argentinien","AR","Daniel Gotman","hdpe",1
"Amerika","Argentinien","AR","Daniel Gotman","ldpe",0
"Amerika","Argentinien","AR","Daniel Gotman","o",1
"Amerika","Argentinien","AR","Daniel Gotman","pet",0
"Amerika","Argentinien","AR","Daniel Gotman","pp",0
"Amerika","Argentinien","AR","Daniel Gotman","ps",0
"Amerika","Argentinien","AR","Daniel Gotman","pvc",0
"Amerika","Argentinien","AR","Bardahl","hdpe",2
"Amerika","Argentinien","AR","Bardahl","ldpe",0
"Amerika","Argentinien","AR","Bardahl","o",0
"Amerika","Argentinien","AR","Bardahl","pet",0
"Amerika","Argentinien","AR","Bardahl","pp",0
"Amerika","Argentinien","AR","Bardahl","ps",0
"Amerika","Argentinien","AR","Bardahl","pvc",0
"Amerika","Argentinien","AR","Ayudin","hdpe",2
"Amerika","Argentinien","AR","Ayudin","ldpe",0
"Amerika","Argentinien","AR","Ayudin","o",0
"Amerika","Argentinien","AR","Ayudin","pet",0
"Amerika","Argentinien","AR","Ayudin","pp",0
"Amerika","Argentinien","AR","Ayudin","ps",0
"Amerika","Argentinien","AR","Ayudin","pvc",0
"Amerika","Argentinien","AR","Cusenier","hdpe",0
"Amerika","Argentinien","AR","Cusenier","ldpe",0
"Amerika","Argentinien","AR","Cusenier","o",0
"Amerika","Argentinien","AR","Cusenier","pet",2
"Amerika","Argentinien","AR","Cusenier","pp",0
"Amerika","Argentinien","AR","Cusenier","ps",0
"Amerika","Argentinien","AR","Cusenier","pvc",0
"Amerika","Argentinien","AR","Dart","hdpe",0
"Amerika","Argentinien","AR","Dart","ldpe",0
"Amerika","Argentinien","AR","Dart","o",2
"Amerika","Argentinien","AR","Dart","pet",0
"Amerika","Argentinien","AR","Dart","pp",0
"Amerika","Argentinien","AR","Dart","ps",0
"Amerika","Argentinien","AR","Dart","pvc",0
"Amerika","Argentinien","AR","Anheuser-Busch InBev","hdpe",0
"Amerika","Argentinien","AR","Anheuser-Busch InBev","ldpe",0
"Amerika","Argentinien","AR","Anheuser-Busch InBev","o",1
"Amerika","Argentinien","AR","Anheuser-Busch InBev","pet",0
"Amerika","Argentinien","AR","Anheuser-Busch InBev","pp",1
"Amerika","Argentinien","AR","Anheuser-Busch InBev","ps",0
"Amerika","Argentinien","AR","Anheuser-Busch InBev","pvc",0
"Amerika","Argentinien","AR","Beiersdorf Global AG","hdpe",0
"Amerika","Argentinien","AR","Beiersdorf Global AG","ldpe",0
"Amerika","Argentinien","AR","Beiersdorf Global AG","o",1
"Amerika","Argentinien","AR","Beiersdorf Global AG","pet",0
"Amerika","Argentinien","AR","Beiersdorf Global AG","pp",1
"Amerika","Argentinien","AR","Beiersdorf Global AG","ps",0
"Amerika","Argentinien","AR","Beiersdorf Global AG","pvc",0
"Amerika","Argentinien","AR","Benjamin","hdpe",0
"Amerika","Argentinien","AR","Benjamin","ldpe",0
"Amerika","Argentinien","AR","Benjamin","o",0
"Amerika","Argentinien","AR","Benjamin","pet",0
"Amerika","Argentinien","AR","Benjamin","pp",1
"Amerika","Argentinien","AR","Benjamin","ps",0
"Amerika","Argentinien","AR","Benjamin","pvc",0
"Amerika","Argentinien","AR","Revigal","hdpe",1
"Amerika","Argentinien","AR","Revigal","ldpe",0
"Amerika","Argentinien","AR","Revigal","o",0
"Amerika","Argentinien","AR","Revigal","pet",0
"Amerika","Argentinien","AR","Revigal","pp",0
"Amerika","Argentinien","AR","Revigal","ps",0
"Amerika","Argentinien","AR","Revigal","pvc",0
"Amerika","Argentinien","AR","Rinde Dos","hdpe",0
"Amerika","Argentinien","AR","Rinde Dos","ldpe",0
"Amerika","Argentinien","AR","Rinde Dos","o",0
"Amerika","Argentinien","AR","Rinde Dos","pet",0
"Amerika","Argentinien","AR","Rinde Dos","pp",1
