"country","year","parent_company","empty","hdpe","ldpe","o","pet","pp","ps","pvc","grand_total","num_events","volunteers","continent","countrycode"
"Argentinien",2019,"La serenisima",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Bagley",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Lia",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"SIERRA DE LOS ANDES",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"SCHNEIDER",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Crowie",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"MALBORO",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"RENAULT",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"QUILMES",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"COLOSO",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"McDonald's Corporation",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Mogul",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Colgate-Palmolive",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Parle",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Cerealitas",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"PERVINOX",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Neval",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Sierra de los padres",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Kimberly-Clark",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"blem",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"BC",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"baggio",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"arcor",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
