"continent","country","parent_company","plastic_type","n_pieces","total_per_country","rel_freq"
"Americas","Argentina","Terrabusi","pet",0,2,0
"Americas","Argentina","Terrabusi","pp",2,2,1
"Americas","Argentina","Terrabusi","ps",0,2,0
"Americas","Argentina","Terrabusi","pvc",0,2,0
"Americas","Argentina","Limpia-Lik","hdpe",2,2,1
"Americas","Argentina","Limpia-Lik","ldpe",0,2,0
"Americas","Argentina","Limpia-Lik","o",0,2,0
"Americas","Argentina","Limpia-Lik","pet",0,2,0
"Americas","Argentina","Limpia-Lik","pp",0,2,0
"Americas","Argentina","Limpia-Lik","ps",0,2,0
"Americas","Argentina","Limpia-Lik","pvc",0,2,0
"Americas","Argentina","Tablada","hdpe",2,2,1
"Americas","Argentina","Tablada","ldpe",0,2,0
"Americas","Argentina","Tablada","o",0,2,0
"Americas","Argentina","Tablada","pet",0,2,0
"Americas","Argentina","Tablada","pp",0,2,0
"Americas","Argentina","Tablada","ps",0,2,0
"Americas","Argentina","Tablada","pvc",0,2,0
"Americas","Argentina","Mars, Incorporated","hdpe",0,2,0
"Americas","Argentina","Mars, Incorporated","ldpe",0,2,0
"Americas","Argentina","Mars, Incorporated","o",0,2,0
"Americas","Argentina","Mars, Incorporated","pet",1,2,0.5
"Americas","Argentina","Mars, Incorporated","pp",1,2,0.5
"Americas","Argentina","Mars, Incorporated","ps",0,2,0
"Americas","Argentina","Mars, Incorporated","pvc",0,2,0
"Americas","Argentina","Max Aroma","hdpe",0,2,0
"Americas","Argentina","Max Aroma","ldpe",0,2,0
"Americas","Argentina","Max Aroma","o",2,2,1
"Americas","Argentina","Max Aroma","pet",0,2,0
"Americas","Argentina","Max Aroma","pp",0,2,0
"Americas","Argentina","Max Aroma","ps",0,2,0
"Americas","Argentina","Max Aroma","pvc",0,2,0
"Americas","Argentina","Speed Unlimited","hdpe",0,2,0
"Americas","Argentina","Speed Unlimited","ldpe",0,2,0
"Americas","Argentina","Speed Unlimited","o",2,2,1
"Americas","Argentina","Speed Unlimited","pet",0,2,0
"Americas","Argentina","Speed Unlimited","pp",0,2,0
"Americas","Argentina","Speed Unlimited","ps",0,2,0
"Americas","Argentina","Speed Unlimited","pvc",0,2,0
"Americas","Argentina","P&G","hdpe",0,2,0
"Americas","Argentina","P&G","ldpe",0,2,0
"Americas","Argentina","P&G","o",1,2,0.5
"Americas","Argentina","P&G","pet",0,2,0
"Americas","Argentina","P&G","pp",1,2,0.5
"Americas","Argentina","P&G","ps",0,2,0
"Americas","Argentina","P&G","pvc",0,2,0
"Americas","Argentina","Saldan","hdpe",0,2,0
"Americas","Argentina","Saldan","ldpe",0,2,0
"Americas","Argentina","Saldan","o",0,2,0
"Americas","Argentina","Saldan","pet",0,2,0
"Americas","Argentina","Saldan","pp",2,2,1
"Americas","Argentina","Saldan","ps",0,2,0
"Americas","Argentina","Saldan","pvc",0,2,0
"Americas","Argentina","Prunelle","hdpe",2,2,1
"Americas","Argentina","Prunelle","ldpe",0,2,0
"Americas","Argentina","Prunelle","o",0,2,0
"Americas","Argentina","Prunelle","pet",0,2,0
"Americas","Argentina","Prunelle","pp",0,2,0
"Americas","Argentina","Prunelle","ps",0,2,0
"Americas","Argentina","Prunelle","pvc",0,2,0
"Americas","Argentina","9 De Oro","hdpe",0,2,0
"Americas","Argentina","9 De Oro","ldpe",0,2,0
"Americas","Argentina","9 De Oro","o",0,2,0
"Americas","Argentina","9 De Oro","pet",0,2,0
"Americas","Argentina","9 De Oro","pp",2,2,1
"Americas","Argentina","9 De Oro","ps",0,2,0
"Americas","Argentina","9 De Oro","pvc",0,2,0
"Americas","Argentina","Daniel Gotman","hdpe",1,2,0.5
"Americas","Argentina","Daniel Gotman","ldpe",0,2,0
"Americas","Argentina","Daniel Gotman","o",1,2,0.5
"Americas","Argentina","Daniel Gotman","pet",0,2,0
"Americas","Argentina","Daniel Gotman","pp",0,2,0
"Americas","Argentina","Daniel Gotman","ps",0,2,0
"Americas","Argentina","Daniel Gotman","pvc",0,2,0
"Americas","Argentina","Bardahl","hdpe",2,2,1
"Americas","Argentina","Bardahl","ldpe",0,2,0
"Americas","Argentina","Bardahl","o",0,2,0
"Americas","Argentina","Bardahl","pet",0,2,0
"Americas","Argentina","Bardahl","pp",0,2,0
"Americas","Argentina","Bardahl","ps",0,2,0
"Americas","Argentina","Bardahl","pvc",0,2,0
"Americas","Argentina","Ayudin","hdpe",2,2,1
"Americas","Argentina","Ayudin","ldpe",0,2,0
"Americas","Argentina","Ayudin","o",0,2,0
"Americas","Argentina","Ayudin","pet",0,2,0
"Americas","Argentina","Ayudin","pp",0,2,0
"Americas","Argentina","Ayudin","ps",0,2,0
"Americas","Argentina","Ayudin","pvc",0,2,0
"Americas","Argentina","Cusenier","hdpe",0,2,0
"Americas","Argentina","Cusenier","ldpe",0,2,0
"Americas","Argentina","Cusenier","o",0,2,0
"Americas","Argentina","Cusenier","pet",2,2,1
"Americas","Argentina","Cusenier","pp",0,2,0
"Americas","Argentina","Cusenier","ps",0,2,0
"Americas","Argentina","Cusenier","pvc",0,2,0
"Americas","Argentina","Dart","hdpe",0,2,0
"Americas","Argentina","Dart","ldpe",0,2,0
"Americas","Argentina","Dart","o",2,2,1
"Americas","Argentina","Dart","pet",0,2,0
"Americas","Argentina","Dart","pp",0,2,0
