"continent","country","parent_company","plastic_type","n_pieces"
"Americas","Argentina","Cusenier","ps",0
"Americas","Argentina","Cusenier","pvc",0
"Americas","Argentina","Dart","hdpe",0
"Americas","Argentina","Dart","ldpe",0
"Americas","Argentina","Dart","o",2
"Americas","Argentina","Dart","pet",0
"Americas","Argentina","Dart","pp",0
"Americas","Argentina","Dart","ps",0
"Americas","Argentina","Dart","pvc",0
"Americas","Argentina","Anheuser-Busch InBev","hdpe",0
"Americas","Argentina","Anheuser-Busch InBev","ldpe",0
"Americas","Argentina","Anheuser-Busch InBev","o",1
"Americas","Argentina","Anheuser-Busch InBev","pet",0
"Americas","Argentina","Anheuser-Busch InBev","pp",1
"Americas","Argentina","Anheuser-Busch InBev","ps",0
"Americas","Argentina","Anheuser-Busch InBev","pvc",0
"Americas","Argentina","Beiersdorf Global AG","hdpe",0
"Americas","Argentina","Beiersdorf Global AG","ldpe",0
"Americas","Argentina","Beiersdorf Global AG","o",1
"Americas","Argentina","Beiersdorf Global AG","pet",0
"Americas","Argentina","Beiersdorf Global AG","pp",1
"Americas","Argentina","Beiersdorf Global AG","ps",0
"Americas","Argentina","Beiersdorf Global AG","pvc",0
"Americas","Argentina","Benjamin","hdpe",0
"Americas","Argentina","Benjamin","ldpe",0
"Americas","Argentina","Benjamin","o",0
"Americas","Argentina","Benjamin","pet",0
"Americas","Argentina","Benjamin","pp",1
"Americas","Argentina","Benjamin","ps",0
"Americas","Argentina","Benjamin","pvc",0
"Americas","Argentina","Revigal","hdpe",1
"Americas","Argentina","Revigal","ldpe",0
"Americas","Argentina","Revigal","o",0
"Americas","Argentina","Revigal","pet",0
"Americas","Argentina","Revigal","pp",0
"Americas","Argentina","Revigal","ps",0
"Americas","Argentina","Revigal","pvc",0
"Americas","Argentina","Rinde Dos","hdpe",0
"Americas","Argentina","Rinde Dos","ldpe",0
"Americas","Argentina","Rinde Dos","o",0
"Americas","Argentina","Rinde Dos","pet",0
"Americas","Argentina","Rinde Dos","pp",1
"Americas","Argentina","Rinde Dos","ps",0
"Americas","Argentina","Rinde Dos","pvc",0
"Americas","Argentina","Rockstar","hdpe",0
"Americas","Argentina","Rockstar","ldpe",0
"Americas","Argentina","Rockstar","o",1
"Americas","Argentina","Rockstar","pet",0
"Americas","Argentina","Rockstar","pp",0
"Americas","Argentina","Rockstar","ps",0
"Americas","Argentina","Rockstar","pvc",0
"Americas","Argentina","Dunox","hdpe",1
"Americas","Argentina","Dunox","ldpe",0
"Americas","Argentina","Dunox","o",0
"Americas","Argentina","Dunox","pet",0
"Americas","Argentina","Dunox","pp",0
"Americas","Argentina","Dunox","ps",0
"Americas","Argentina","Dunox","pvc",0
"Americas","Argentina","San Cayetano","hdpe",0
"Americas","Argentina","San Cayetano","ldpe",0
"Americas","Argentina","San Cayetano","o",0
"Americas","Argentina","San Cayetano","pet",0
"Americas","Argentina","San Cayetano","pp",1
"Americas","Argentina","San Cayetano","ps",0
"Americas","Argentina","San Cayetano","pvc",0
"Americas","Argentina","Saladix - Arcor","hdpe",0
"Americas","Argentina","Saladix - Arcor","ldpe",0
"Americas","Argentina","Saladix - Arcor","o",0
"Americas","Argentina","Saladix - Arcor","pet",0
"Americas","Argentina","Saladix - Arcor","pp",1
"Americas","Argentina","Saladix - Arcor","ps",0
"Americas","Argentina","Saladix - Arcor","pvc",0
"Americas","Argentina","Recreo","hdpe",0
"Americas","Argentina","Recreo","ldpe",0
"Americas","Argentina","Recreo","o",0
"Americas","Argentina","Recreo","pet",0
"Americas","Argentina","Recreo","pp",1
"Americas","Argentina","Recreo","ps",0
"Americas","Argentina","Recreo","pvc",0
"Americas","Argentina","Savant Pharm","hdpe",1
"Americas","Argentina","Savant Pharm","ldpe",0
"Americas","Argentina","Savant Pharm","o",0
"Americas","Argentina","Savant Pharm","pet",0
"Americas","Argentina","Savant Pharm","pp",0
"Americas","Argentina","Savant Pharm","ps",0
"Americas","Argentina","Savant Pharm","pvc",0
"Americas","Argentina","Bayer","hdpe",1
"Americas","Argentina","Bayer","ldpe",0
"Americas","Argentina","Bayer","o",0
"Americas","Argentina","Bayer","pet",0
"Americas","Argentina","Bayer","pp",0
"Americas","Argentina","Bayer","ps",0
"Americas","Argentina","Bayer","pvc",0
"Americas","Argentina","Seawalk","hdpe",1
"Americas","Argentina","Seawalk","ldpe",0
"Americas","Argentina","Seawalk","o",0
"Americas","Argentina","Seawalk","pet",0
"Americas","Argentina","Seawalk","pp",0
"Americas","Argentina","Seawalk","ps",0
"Americas","Argentina","Seawalk","pvc",0
"Americas","Argentina","Si Diet","hdpe",1
"Americas","Argentina","Si Diet","ldpe",0
"Americas","Argentina","Si Diet","o",0
"Americas","Argentina","Si Diet","pet",0
"Americas","Argentina","Si Diet","pp",0
"Americas","Argentina","Si Diet","ps",0
"Americas","Argentina","Si Diet","pvc",0
"Americas","Argentina","Sidney","hdpe",0
"Americas","Argentina","Sidney","ldpe",0
"Americas","Argentina","Sidney","o",0
"Americas","Argentina","Sidney","pet",1
"Americas","Argentina","Sidney","pp",0
"Americas","Argentina","Sidney","ps",0
"Americas","Argentina","Sidney","pvc",0
"Americas","Argentina","Resero","hdpe",0
"Americas","Argentina","Resero","ldpe",0
"Americas","Argentina","Resero","o",1
"Americas","Argentina","Resero","pet",0
"Americas","Argentina","Resero","pp",0
"Americas","Argentina","Resero","ps",0
"Americas","Argentina","Resero","pvc",0
"Americas","Argentina","Diamante","hdpe",0
"Americas","Argentina","Diamante","ldpe",0
"Americas","Argentina","Diamante","o",1
"Americas","Argentina","Diamante","pet",0
"Americas","Argentina","Diamante","pp",0
"Americas","Argentina","Diamante","ps",0
"Americas","Argentina","Diamante","pvc",0
"Americas","Argentina","Silsur","hdpe",0
"Americas","Argentina","Silsur","ldpe",0
"Americas","Argentina","Silsur","o",1
"Americas","Argentina","Silsur","pet",0
"Americas","Argentina","Silsur","pp",0
"Americas","Argentina","Silsur","ps",0
"Americas","Argentina","Silsur","pvc",0
"Americas","Argentina","Candela","hdpe",0
"Americas","Argentina","Candela","ldpe",0
"Americas","Argentina","Candela","o",1
"Americas","Argentina","Candela","pet",0
"Americas","Argentina","Candela","pp",0
"Americas","Argentina","Candela","ps",0
"Americas","Argentina","Candela","pvc",0
"Americas","Argentina","Omicron","hdpe",0
"Americas","Argentina","Omicron","ldpe",0
"Americas","Argentina","Omicron","o",0
"Americas","Argentina","Omicron","pet",0
"Americas","Argentina","Omicron","pp",1
"Americas","Argentina","Omicron","ps",0
"Americas","Argentina","Omicron","pvc",0
"Americas","Argentina","Cedal","hdpe",0
"Americas","Argentina","Cedal","ldpe",0
"Americas","Argentina","Cedal","o",0
"Americas","Argentina","Cedal","pet",0
"Americas","Argentina","Cedal","pp",1
"Americas","Argentina","Cedal","ps",0
"Americas","Argentina","Cedal","pvc",0
"Americas","Argentina","Paraná Limitada","hdpe",0
"Americas","Argentina","Paraná Limitada","ldpe",1
"Americas","Argentina","Paraná Limitada","o",0
"Americas","Argentina","Paraná Limitada","pet",0
"Americas","Argentina","Paraná Limitada","pp",0
"Americas","Argentina","Paraná Limitada","ps",0
"Americas","Argentina","Paraná Limitada","pvc",0
"Americas","Argentina","Cecchini","hdpe",1
"Americas","Argentina","Cecchini","ldpe",0
"Americas","Argentina","Cecchini","o",0
"Americas","Argentina","Cecchini","pet",0
"Americas","Argentina","Cecchini","pp",0
"Americas","Argentina","Cecchini","ps",0
"Americas","Argentina","Cecchini","pvc",0
"Americas","Argentina","Petronas","hdpe",1
"Americas","Argentina","Petronas","ldpe",0
"Americas","Argentina","Petronas","o",0
"Americas","Argentina","Petronas","pet",0
"Americas","Argentina","Petronas","pp",0
"Americas","Argentina","Petronas","ps",0
"Americas","Argentina","Petronas","pvc",0
"Americas","Argentina","Philip Morris","hdpe",0
"Americas","Argentina","Philip Morris","ldpe",0
"Americas","Argentina","Philip Morris","o",1
"Americas","Argentina","Philip Morris","pet",0
"Americas","Argentina","Philip Morris","pp",0
"Americas","Argentina","Philip Morris","ps",0
